forecast_step,rows,original_coverage,corrected_coverage,coverage_change_percentage_points,original_mean_width,corrected_mean_width,mean_width_increase,mean_width_increase_percent,corrected_below_rate,corrected_above_rate
1,7,0.5714285714285714,0.8571428571428571,28.57142857142857,23.435930524553573,29.453020368303573,6.01708984375,25.674635950324053,0.14285714285714285,0.0
2,7,0.7142857142857143,0.7142857142857143,0.0,30.313929966517858,36.331019810267854,6.01708984375,19.849256927082543,0.0,0.2857142857142857
3,7,0.7142857142857143,0.7142857142857143,0.0,37.00425502232143,43.02134486607143,6.01708984375,16.260535011772067,0.0,0.2857142857142857
4,7,0.5714285714285714,0.5714285714285714,0.0,40.835048130580354,46.852137974330354,6.01708984375,14.735111428077271,0.14285714285714285,0.2857142857142857
5,7,0.5714285714285714,0.5714285714285714,0.0,46.142613002232146,52.159702845982146,6.01708984375,13.04020178367212,0.0,0.42857142857142855
6,7,0.42857142857142855,0.42857142857142855,0.0,49.55409458705357,55.57118443080357,6.01708984375,12.142467527440237,0.2857142857142857,0.2857142857142857
7,7,0.42857142857142855,0.42857142857142855,0.0,53.087838309151785,59.104928152901785,6.01708984375,11.334215208971349,0.2857142857142857,0.2857142857142857
8,7,0.5714285714285714,0.5714285714285714,0.0,57.4715576171875,63.4886474609375,6.01708984375,10.469682906158999,0.2857142857142857,0.14285714285714285
9,7,0.42857142857142855,0.5714285714285714,14.285714285714285,60.89453125,66.91162109375,6.01708984375,9.881166206940792,0.2857142857142857,0.14285714285714285
10,7,0.42857142857142855,0.42857142857142855,0.0,63.256033761160715,69.27312360491071,6.01708984375,9.512278095824108,0.2857142857142857,0.2857142857142857
11,7,0.5714285714285714,0.5714285714285714,0.0,66.82012067522321,72.83721051897321,6.01708984375,9.004907179075369,0.2857142857142857,0.14285714285714285
12,7,0.5714285714285714,0.5714285714285714,0.0,69.57877022879464,75.59586007254464,6.01708984375,8.647881852415773,0.2857142857142857,0.14285714285714285
13,7,0.5714285714285714,0.5714285714285714,0.0,72.21132114955357,78.22841099330357,6.01708984375,8.332612875601985,0.2857142857142857,0.14285714285714285
14,7,0.42857142857142855,0.5714285714285714,14.285714285714285,73.91162109375,79.9287109375,6.01708984375,8.140925276307879,0.2857142857142857,0.14285714285714285
15,7,0.5714285714285714,0.5714285714285714,0.0,76.38425990513393,82.40134974888393,6.01708984375,7.8773949649089685,0.2857142857142857,0.14285714285714285
16,7,0.5714285714285714,0.5714285714285714,0.0,78.98871721540179,85.00580705915179,6.01708984375,7.617657376738287,0.2857142857142857,0.14285714285714285
17,7,0.5714285714285714,0.5714285714285714,0.0,80.34849330357143,86.36558314732143,6.01708984375,7.48874010744212,0.2857142857142857,0.14285714285714285
18,7,0.5714285714285714,0.5714285714285714,0.0,83.40581403459821,89.42290387834821,6.01708984375,7.214233100409529,0.2857142857142857,0.14285714285714285
19,7,0.5714285714285714,0.5714285714285714,0.0,86.01142229352679,92.02851213727679,6.01708984375,6.995686948665707,0.2857142857142857,0.14285714285714285
20,7,0.42857142857142855,0.5714285714285714,14.285714285714285,88.82367815290179,94.84076799665179,6.01708984375,6.774195764998757,0.2857142857142857,0.14285714285714285
